topic,subtopic1,subtopic2,raw_ex_info,composer,raw_ex_title,raw_ex_mm,larger_work,generic_title,piece_title,catalog_no,movement,measure_start,measure_end,mp3,pdf
Scales,Major scales,Descending Major Scales,"J. S. Bach, Chorale no. 152 (""Meinen Jesum lass ich nicht""), mm. 10-13",J. S. Bach,"Chorale no. 152 (""Meinen Jesum lass ich nicht"")",mm. 10-13,,,Meinen Jesum lass ich nicht,,,,,/musictheoryexamples/examples//ScF2.mp3,/musictheoryexamples/examples//ScF2.pdf
Scales,Major scales,Descending Major Scales,"Haydn, String Quartet, op. 103, mvt. 2, Trio, mm. 1-12",Haydn,"String Quartet, op. 103, mvt. 2, Trio",mm. 1-12,,,,op. 103,mvt. 2,,,/musictheoryexamples/examples//ScG2.mp3,/musictheoryexamples/examples//ScG2.pdf
Scales,Major scales,Descending Major Scales,"J. S. Bach, Brandenburg Concerto no. 5 in D Major, BWV 1050, mvt. 1, mm. 1-4",J. S. Bach,"Brandenburg Concerto no. 5 in D Major, BWV 1050, mvt. 1",mm. 1-4,,,,BWV 1050,mvt. 1,,,/musictheoryexamples/examples//ScH2.mp3,/musictheoryexamples/examples//ScH2.pdf
Scales,Major scales,Descending Major Scales,"Stravinsky, Concerto in D for Violin and Orchestra, mvt. 1, mm. 27-35",Stravinsky,"Concerto in D for Violin and Orchestra, mvt. 1",mm. 27-35,,,,,mvt. 1,,,/musictheoryexamples/examples//ScI2.mp3,/musictheoryexamples/examples//ScI2.pdf
Scales,Major scales,Descending Major Scales,"Brahms, Intermezzo in E-flat Major, op. 117 no. 1, mm. 1-4",Brahms,"Intermezzo in E-flat Major, op. 117 no. 1",mm. 1-4,,,,op. 117,,,,/musictheoryexamples/examples//ScC.mp3,/musictheoryexamples/examples//ScC.pdf
Scales,Major scales,Descending Major Scales,"Brahms, ""Geistliches Lied"", op. 30, mm. 48-52",Brahms,"""Geistliches Lied"", op. 30",mm. 48-52,,,Geistliches Lied,op. 30,,,,/musictheoryexamples/examples//ScJ2.mp3,/musictheoryexamples/examples//ScJ2.pdf
Scales,Major scales,Descending Major Scales,"Mussorgsky, Pictures at an Exhibition, ""The Great Gate of Kiev"", mm. 47-55",Mussorgsky,"Pictures at an Exhibition, ""The Great Gate of Kiev""",mm. 47-55,,,The Great Gate of Kiev,,,,,/musictheoryexamples/examples//ScK2.mp3,/musictheoryexamples/examples//ScK2.pdf
Scales,Major scales,Descending Major Scales,"Haydn, String Quartet in E-flat Major, op. 76 no. 6, Alternativo, mm. 1-32",Haydn,"String Quartet in E-flat Major, op. 76 no. 6, Alternativo",mm. 1-32,,,,op. 76,,,,/musictheoryexamples/examples//ScL2.mp3,/musictheoryexamples/examples//ScL2.pdf
Scales,Major scales,Descending Major Scales,"Rossini, The Barber of Seville, ""Una voce poco fa"", mm. 43-50",Rossini,"The Barber of Seville, ""Una voce poco fa""",mm. 43-50,,,Una voce poco fa,,,,,/musictheoryexamples/examples//ScM2.mp3,/musictheoryexamples/examples//ScM2.pdf
Scales,Major scales,Descending Major Scales,"J. S. Bach, Violin Concerto in E Major, BWV 1042, mvt. 3, mm. 1-16",J. S. Bach,"Violin Concerto in E Major, BWV 1042, mvt. 3",mm. 1-16,,,,BWV 1042,mvt. 3,,,/musictheoryexamples/examples//ScN2.mp3,/musictheoryexamples/examples//ScN2.pdf
